Date,Year,Month_Num,Month_Name,Day_of_Week,Week_Number,Quarter,Is_Month_Start,Is_Month_End,Open,High,Low,Close,Shares_Traded,Turnover_Cr,Direction,Up_Day,Daily_Return_Pct,Change_from_Prev_Close,Cum_Return_Pct,Daily_Range,Daily_Range_Pct,Open_Close_Spread,Open_Close_Spread_Pct,Gap_Up_Down,Gap_Pct,SMA_5,SMA_10,SMA_20,SMA_50,EMA_5,EMA_10,EMA_20,EMA_50,Volatility_5D,Volatility_10D,Volatility_20D,ATR_14,RSI_14,RSI_Signal,MACD,MACD_Signal,MACD_Histogram,MACD_Crossover,BB_Upper,BB_Mid,BB_Lower,BB_Width,BB_Position,Drawdown_Pct,Rolling_52W_High,Rolling_52W_Low,Pct_From_52W_High,Pct_From_52W_Low,Volume_MA_20,Volume_Ratio,High_Volume_Day,Turnover_MA_20,SMA_20_above_50,Golden_Cross,Death_Cross,Trend
2025-08-18,2025,8,Aug-2025,Monday,34,3,0,0,24938.2,25022.0,24852.85,24876.95,363071305,37637.67,Up,1,0.9973,245.65,1.0428,169.15,0.6783,-61.25,-0.2456,306.9,1.246,24640.01,24610.6,24753.37,25018.04,24683.27,24668.03,24753.38,24867.26,0.5902,0.633,0.6134,200.74,55.65,Neutral,-117.09,-134.17,17.08,Bullish,25201.05,24753.37,24305.69,3.6171,Inside Band,-2.9677,25669.35,24337.5,-3.09,2.22,304536092.0,1.1922,0,26380.99,0.0,0,0,Mild Uptrend
2025-08-19,2025,8,Aug-2025,Tuesday,34,3,0,0,24891.35,25012.65,24873.95,24980.65,252340828,24781.97,Up,1,0.4169,103.7,1.464,138.7,0.5572,89.3,0.3588,14.4,0.0579,24719.13,24636.39,24747.86,25015.59,24782.4,24724.87,24775.03,24871.71,0.5254,0.6166,0.6104,192.89,54.7,Neutral,-84.53,-124.24,39.71,None,25180.54,24747.86,24315.19,3.4967,Inside Band,-2.5632,25669.35,24337.5,-2.68,2.64,301892312.0,0.8359,0,26316.98,0.0,0,0,Mild Uptrend
2025-08-20,2025,8,Aug-2025,Wednesday,34,3,0,0,24965.8,25088.7,24929.7,25050.55,287054119,25330.45,Up,1,0.2798,69.9,1.748,159.0,0.6369,84.75,0.3395,-14.85,-0.0594,24831.76,24676.49,24747.35,25014.51,24871.78,24784.09,24801.27,24878.72,0.353,0.6016,0.6135,194.94,55.64,Neutral,-52.49,-109.89,57.4,None,25178.47,24747.35,24316.23,3.4842,Inside Band,-2.2906,25669.35,24337.5,-2.41,2.93,292058762.0,0.9829,0,26021.1,0.0,0,0,Mild Uptrend
2025-08-21,2025,8,Aug-2025,Thursday,34,3,0,0,25142.0,25153.65,25054.9,25083.75,226542052,21865.07,Up,1,0.1325,33.2,1.8828,98.75,0.3928,-58.25,-0.2317,91.45,0.3651,24924.64,24727.44,24740.54,25013.36,24942.44,24838.57,24828.17,24886.76,0.3753,0.5792,0.5962,179.03,59.39,Neutral,-24.13,-92.74,68.61,None,25143.63,24740.54,24337.45,3.2585,Inside Band,-2.1611,25669.35,24337.5,-2.28,3.07,289808882.0,0.7817,0,25962.23,0.0,0,0,Mild Uptrend
2025-08-22,2025,8,Aug-2025,Friday,34,3,0,0,25064.15,25084.85,24859.15,24870.1,210165384,19655.78,Down,0,-0.8517,-213.65,1.015,225.7,0.9005,-194.05,-0.7742,-19.6,-0.0781,24972.4,24754.84,24730.94,25013.0,24918.32,24844.3,24832.16,24886.11,0.6708,0.6698,0.6102,177.36,59.02,Neutral,-18.69,-77.93,59.24,None,25110.23,24730.94,24351.65,3.0673,Inside Band,-2.9944,25669.35,24337.5,-3.11,2.19,283380708.0,0.7416,0,25573.35,0.0,0,0,Mild Uptrend
2025-08-25,2025,8,Aug-2025,Monday,35,3,0,0,24949.15,25021.55,24894.35,24967.75,213032133,19871.25,Up,1,0.3926,97.65,1.4116,127.2,0.5098,18.6,0.0746,79.05,0.3179,24990.56,24815.28,24737.48,25017.98,24934.8,24866.75,24845.08,24889.31,0.5296,0.5591,0.5819,173.42,57.51,Neutral,-6.42,-63.63,57.21,None,25128.78,24737.48,24346.18,3.1636,Inside Band,-2.6135,25669.35,24337.5,-2.73,2.59,280125510.0,0.7605,0,25303.23,0.0,0,0,Mild Uptrend
2025-08-26,2025,8,Aug-2025,Tuesday,35,3,0,0,24899.5,24919.65,24689.6,24712.05,750473927,47068.2,Down,0,-1.0241,-255.7,0.3731,230.05,0.9239,-187.45,-0.7528,-68.25,-0.2734,24936.84,24827.98,24739.04,25013.29,24860.55,24838.62,24832.41,24882.36,0.6699,0.6337,0.6113,179.66,51.72,Neutral,-17.13,-54.33,37.2,None,25129.64,24739.04,24348.43,3.1578,Inside Band,-3.6109,25669.35,24337.5,-3.73,1.54,304542058.0,2.4643,1,26407.81,0.0,0,0,Strong Downtrend
2025-08-28,2025,8,Aug-2025,Thursday,35,3,0,0,24695.8,24702.65,24481.6,24500.9,326601486,29371.67,Down,0,-0.8544,-211.15,-0.4846,221.05,0.8951,-194.9,-0.7892,-16.25,-0.0658,24826.91,24829.34,24723.02,25006.24,24740.67,24777.22,24800.84,24867.4,0.6526,0.6843,0.6253,186.0,48.12,Neutral,-42.17,-51.9,9.73,None,25125.53,24723.02,24320.52,3.2561,Inside Band,-4.4345,25669.35,24337.5,-4.55,0.67,306639270.0,1.0651,0,26578.68,0.0,0,0,Strong Downtrend
2025-08-29,2025,8,Aug-2025,Friday,35,3,0,0,24466.7,24572.45,24404.7,24426.85,325543583,26796.69,Down,0,-0.3022,-74.05,-0.7853,167.75,0.6856,-39.85,-0.1629,-34.2,-0.1396,24695.53,24810.08,24701.62,24998.54,24636.06,24713.51,24765.22,24850.12,0.5823,0.6632,0.6257,177.27,45.77,Neutral,-67.22,-54.96,-12.26,Bearish,25119.8,24701.62,24283.43,3.3859,Inside Band,-4.7233,25669.35,24337.5,-4.84,0.37,310722113.0,1.0477,0,26742.25,0.0,0,0,Strong Downtrend
2025-09-01,2025,9,Sep-2025,Monday,36,3,1,0,24432.7,24635.6,24432.7,24625.05,229327424,20704.88,Up,1,0.8114,198.2,0.0197,202.9,0.8304,192.35,0.7873,5.85,0.0239,24646.52,24809.46,24694.45,24995.18,24632.39,24697.43,24751.87,24841.3,0.7893,0.7205,0.6531,174.05,56.66,Neutral,-70.26,-58.02,-12.24,None,25112.73,24694.45,24276.17,3.3876,Inside Band,-3.9502,25669.35,24337.5,-4.07,1.18,304873303.0,0.7522,0,26253.61,0.0,0,0,Strong Downtrend
2025-09-02,2025,9,Sep-2025,Tuesday,36,3,0,0,24653.0,24756.1,24522.35,24579.6,271558516,22051.8,Down,0,-0.1846,-45.45,-0.1649,233.75,0.9482,-73.4,-0.2977,27.95,0.1135,24568.89,24779.72,24695.16,24984.52,24614.79,24676.01,24735.46,24831.03,0.7211,0.63,0.6275,172.64,49.85,Neutral,-75.47,-61.51,-13.96,None,25112.57,24695.16,24277.76,3.3805,Inside Band,-4.1275,25669.35,24337.5,-4.25,0.99,305283369.0,0.8895,0,26107.58,0.0,0,0,Strong Downtrend
2025-09-03,2025,9,Sep-2025,Wednesday,36,3,0,0,24616.5,24737.05,24533.2,24715.05,340283328,23533.08,Up,1,0.5511,135.45,0.3853,203.85,0.8281,98.55,0.4003,36.9,0.1501,24569.49,24753.16,24694.78,24979.38,24648.21,24683.11,24733.52,24826.49,0.6741,0.6439,0.623,170.28,56.23,Neutral,-67.89,-62.79,-5.1,None,25112.09,24694.78,24277.47,3.3797,Inside Band,-3.5992,25669.35,24337.5,-3.72,1.55,309331062.0,1.1001,0,26265.6,0.0,0,0,Mild Uptrend
2025-09-04,2025,9,Sep-2025,Thursday,36,3,0,0,24980.75,24980.75,24708.2,24734.3,314094160,30252.19,Up,1,0.0779,19.25,0.4634,272.55,1.091,-246.45,-0.9866,265.7,1.0751,24616.17,24721.54,24699.02,24973.18,24676.91,24692.41,24733.59,24822.87,0.4774,0.6336,0.6192,180.51,53.35,Neutral,-59.64,-62.16,2.52,Bullish,25116.11,24699.02,24281.92,3.3774,Inside Band,-3.5241,25669.35,24337.5,-3.64,1.63,312443281.0,1.0053,0,26587.44,0.0,0,0,Mild Uptrend
2025-09-05,2025,9,Sep-2025,Friday,36,3,0,0,24818.85,24832.35,24621.6,24741.0,210071924,18530.24,Up,1,0.0271,6.7,0.4907,210.75,0.8492,-77.85,-0.3137,84.55,0.3418,24679.0,24687.26,24707.36,24963.11,24698.27,24701.25,24734.3,24819.66,0.4104,0.6297,0.6145,190.08,53.21,Neutral,-51.96,-60.12,8.16,None,25120.6,24707.36,24294.11,3.3451,Inside Band,-3.498,25669.35,24337.5,-3.62,1.66,311692323.0,0.674,0,26485.99,0.0,0,0,Mild Uptrend
2025-09-08,2025,9,Sep-2025,Monday,37,3,0,0,24802.6,24885.5,24751.55,24773.15,213228202,20122.88,Up,1,0.1299,32.15,0.6212,133.95,0.5401,-29.45,-0.1187,61.6,0.249,24708.62,24677.57,24716.2,24947.59,24723.23,24714.32,24738.0,24817.84,0.2688,0.5802,0.6148,187.57,46.53,Neutral,-42.79,-56.65,13.86,None,25126.99,24716.2,24305.42,3.324,Inside Band,-3.3726,25669.35,24337.5,-3.49,1.79,291516774.0,0.7314,0,25713.4,0.0,0,0,Mild Uptrend
2025-09-09,2025,9,Sep-2025,Tuesday,37,3,0,0,24864.1,24891.8,24814.0,24868.6,226919775,22356.88,Up,1,0.3853,95.45,1.0089,77.8,0.3129,4.5,0.0181,90.95,0.3671,24766.42,24667.66,24741.47,24932.2,24771.69,24742.37,24750.44,24819.83,0.2244,0.5796,0.5733,183.22,46.23,Neutral,-27.5,-50.82,23.32,None,25121.9,24741.47,24361.04,3.0752,Inside Band,-3.0003,25669.35,24337.5,-3.12,2.18,287231255.0,0.79,0,24924.46,0.0,0,0,Mild Uptrend
2025-09-10,2025,9,Sep-2025,Wednesday,37,3,0,0,24991.0,25035.7,24915.05,24973.1,244146466,22458.98,Up,1,0.4202,104.5,1.4334,120.65,0.4828,-17.9,-0.0716,122.4,0.4922,24818.03,24693.76,24760.87,24921.33,24838.83,24784.32,24771.64,24825.84,0.1818,0.4777,0.5469,180.48,47.46,Neutral,-6.88,-42.03,35.15,None,25147.25,24760.87,24374.49,3.1209,Inside Band,-2.5927,25669.35,24337.5,-2.71,2.61,287381303.0,0.8496,0,24993.33,0.0,0,0,Mild Uptrend
2025-09-11,2025,9,Sep-2025,Thursday,37,3,0,0,24945.5,25037.3,24940.15,25005.5,224570983,21316.72,Up,1,0.1297,32.4,1.565,97.15,0.3894,60.0,0.2405,-27.6,-0.1105,24872.27,24744.22,24786.78,24910.6,24894.38,24824.54,24793.91,24832.88,0.1738,0.339,0.5352,180.36,47.43,Neutral,11.95,-31.24,43.19,None,25165.35,24786.78,24408.21,3.0546,Inside Band,-2.4663,25669.35,24337.5,-2.59,2.74,286759729.0,0.7831,0,24946.25,0.0,0,0,Mild Uptrend
2025-09-12,2025,9,Sep-2025,Friday,37,3,0,0,25074.45,25139.45,25038.05,25114.0,225739766,21335.67,Up,1,0.4339,108.5,2.0057,101.4,0.4044,39.55,0.1577,68.95,0.2757,24946.87,24812.94,24811.51,24903.81,24967.59,24877.17,24824.4,24843.91,0.1562,0.2936,0.5313,171.49,58.61,Neutral,35.22,-17.95,53.17,None,25208.22,24811.51,24414.8,3.1978,Inside Band,-2.0431,25669.35,24337.5,-2.16,3.19,286246378.0,0.7886,0,24870.88,0.0,0,0,Mild Uptrend
2025-09-15,2025,9,Sep-2025,Monday,38,3,0,0,25118.9,25138.45,25048.75,25069.2,185375759,17115.6,Down,0,-0.1784,-44.8,1.8237,89.7,0.3571,-49.7,-0.1979,4.9,0.0195,25006.08,24857.35,24833.4,24897.09,25001.46,24912.08,24847.71,24852.74,0.2638,0.2587,0.5349,168.81,53.72,Neutral,49.47,-4.46,53.93,None,25236.52,24833.4,24430.29,3.2466,Inside Band,-2.2178,25669.35,24337.5,-2.34,3.01,282007056.0,0.6573,0,24607.88,0.0,0,0,Mild Uptrend
2025-09-16,2025,9,Sep-2025,Tuesday,38,3,0,0,25073.6,25261.4,25070.45,25239.1,240122320,22642.86,Up,1,0.6777,169.9,2.5138,190.95,0.7616,165.5,0.6601,4.4,0.0176,25080.18,24923.3,24851.51,24892.65,25080.67,24971.54,24884.99,24867.89,0.329,0.2675,0.5105,166.01,70.62,Overbought,73.63,11.16,62.47,None,25293.53,24851.51,24409.5,3.5572,Inside Band,-1.5551,25669.35,24337.5,-1.68,3.7,275859607.0,0.8705,0,23858.14,0.0,0,0,Mild Uptrend
2025-09-17,2025,9,Sep-2025,Wednesday,38,3,0,0,25276.6,25346.5,25275.35,25330.25,268936695,23484.12,Up,1,0.3611,91.15,2.884,71.15,0.2815,53.65,0.2123,37.5,0.1486,25151.61,24984.82,24868.99,24890.03,25163.87,25036.76,24927.39,24886.03,0.3244,0.2512,0.5087,155.31,85.81,Overbought,98.99,28.72,70.27,None,25357.69,24868.99,24380.29,3.9302,Inside Band,-1.1996,25669.35,24337.5,-1.32,4.08,276689400.0,0.972,0,23793.25,0.0,0,0,Mild Uptrend
2025-09-18,2025,9,Sep-2025,Thursday,38,3,0,0,25441.05,25448.55,25329.75,25423.6,272193683,24198.11,Up,1,0.3685,93.35,3.2632,118.8,0.467,-17.45,-0.0686,110.8,0.4374,25235.23,25053.75,24887.64,24888.05,25250.44,25107.09,24974.65,24907.11,0.3133,0.2463,0.511,151.81,92.33,Overbought,125.17,48.01,77.16,None,25430.95,24887.64,24344.34,4.3661,Inside Band,-0.8355,25669.35,24337.5,-0.96,4.46,275946378.0,0.9864,0,23736.63,0.0,0,0,Mild Uptrend
2025-09-19,2025,9,Sep-2025,Friday,38,3,0,0,25410.2,25431.4,25286.3,25327.05,380362832,38805.58,Down,0,-0.3798,-96.55,2.871,145.1,0.571,-83.15,-0.3272,-13.4,-0.0527,25277.84,25112.36,24899.81,24885.07,25275.98,25147.09,25008.21,24923.57,0.4351,0.3157,0.5207,147.68,82.63,Overbought,136.56,65.72,70.84,None,25471.74,24899.81,24327.88,4.5939,Inside Band,-1.2121,25669.35,24337.5,-1.33,4.07,283637417.0,1.341,0,24583.66,1.0,1,0,Strong Uptrend
2025-09-22,2025,9,Sep-2025,Monday,39,3,0,0,25238.1,25331.7,25151.05,25202.35,254509892,25277.82,Down,0,-0.4924,-124.7,2.3645,180.65,0.7158,-35.75,-0.1417,-88.95,-0.3512,25304.47,25155.28,24916.42,24882.01,25251.44,25157.13,25026.7,24934.51,0.5135,0.391,0.4935,143.89,76.96,Overbought,133.98,79.37,54.61,None,25503.82,24916.42,24329.03,4.7149,Inside Band,-1.6985,25669.35,24337.5,-1.82,3.55,285854643.0,0.8903,0,24864.76,1.0,0,0,Strong Uptrend
2025-09-23,2025,9,Sep-2025,Tuesday,39,3,0,0,25209.0,25261.9,25084.65,25169.5,299204338,31435.17,Down,0,-0.1303,-32.85,2.2311,177.25,0.7031,-39.5,-0.1567,6.65,0.0264,25290.55,25185.36,24926.51,24882.41,25224.12,25159.38,25040.3,24943.72,0.4047,0.3939,0.4892,141.99,71.59,Overbought,127.81,89.06,38.75,None,25524.45,24926.51,24328.57,4.7976,Inside Band,-1.8266,25669.35,24337.5,-1.95,3.42,290163253.0,1.0312,0,25442.96,1.0,0,0,Strong Uptrend
2025-09-24,2025,9,Sep-2025,Wednesday,39,3,0,0,25108.75,25149.85,25027.45,25056.9,244382281,22310.05,Down,0,-0.4474,-112.6,1.7737,122.4,0.4875,-51.85,-0.2065,-60.75,-0.2414,25235.88,25193.75,24943.75,24881.9,25168.38,25140.75,25041.88,24948.16,0.3556,0.4156,0.4373,131.26,64.08,Neutral,112.54,93.76,18.78,None,25535.51,24943.75,24352.0,4.7447,Inside Band,-2.2658,25669.35,24337.5,-2.39,2.96,264858671.0,0.9227,0,24205.05,1.0,0,0,Strong Uptrend
2025-09-25,2025,9,Sep-2025,Thursday,39,3,0,0,25034.5,25092.7,24878.3,24890.85,342534768,32715.91,Down,0,-0.6627,-166.05,1.0993,214.4,0.8564,-143.65,-0.5738,-22.4,-0.0894,25129.33,25182.28,24963.25,24875.8,25075.87,25095.31,25027.5,24945.91,0.1939,0.4677,0.4176,131.53,55.74,Neutral,86.04,92.21,-6.17,Bearish,25518.12,24963.25,24408.38,4.4455,Inside Band,-2.9135,25669.35,24337.5,-3.03,2.27,265655335.0,1.2894,0,24372.26,1.0,0,0,Mild Downtrend
2025-09-26,2025,9,Sep-2025,Friday,39,3,0,0,24818.55,24868.6,24629.45,24654.7,291537949,29987.93,Down,0,-0.9487,-236.15,0.1401,239.15,0.9636,-163.85,-0.6602,-72.3,-0.2905,24994.86,25136.35,24974.64,24864.65,24935.48,25015.2,24991.99,24934.49,0.3003,0.5126,0.4705,139.04,46.08,Neutral,45.47,82.86,-37.39,None,25491.17,24974.64,24458.12,4.1364,Inside Band,-3.8346,25669.35,24337.5,-3.95,1.3,263955053.0,1.1045,0,24531.82,1.0,0,0,Mild Downtrend
2025-09-29,2025,9,Sep-2025,Monday,40,3,0,0,24728.55,24791.3,24606.2,24634.9,394388242,40004.93,Down,0,-0.0803,-19.8,0.0597,185.1,0.7485,-93.65,-0.3787,73.85,0.2995,24881.37,25092.92,24975.14,24855.12,24835.29,24946.06,24957.99,24922.74,0.365,0.5136,0.4352,146.7,41.85,Neutral,11.58,68.61,-57.03,None,25490.27,24975.14,24460.0,4.1252,Inside Band,-3.9118,25669.35,24337.5,-4.03,1.22,272208094.0,1.4488,0,25496.83,1.0,0,0,Mild Downtrend
2025-09-30,2025,9,Sep-2025,Tuesday,40,3,0,1,24691.95,24731.8,24587.7,24611.1,304924720,29285.11,Down,0,-0.0966,-23.8,-0.037,144.1,0.5836,-80.85,-0.3274,57.05,0.2316,24769.69,25030.12,24976.71,24847.98,24760.56,24885.15,24924.95,24910.52,0.3727,0.4211,0.4336,148.38,36.62,Neutral,-17.0,51.49,-68.49,None,25486.93,24976.71,24466.49,4.0856,Inside Band,-4.0046,25669.35,24337.5,-4.12,1.12,273876404.0,1.1134,0,25858.49,1.0,0,0,Mild Downtrend
2025-10-01,2025,10,Oct-2025,Wednesday,40,4,1,0,24620.55,24867.95,24605.95,24836.3,308135228,29041.17,Up,1,0.915,225.2,0.8777,262.0,1.0642,215.75,0.8763,9.45,0.0384,24725.57,24980.72,24982.77,24842.89,24785.81,24876.27,24916.51,24907.61,0.7141,0.5323,0.4642,160.15,44.53,Neutral,-21.24,36.94,-58.18,None,25482.68,24982.77,24482.87,4.002,Inside Band,-3.1262,25669.35,24337.5,-3.25,2.05,272268999.0,1.1317,0,26133.9,1.0,0,0,Mild Downtrend
2025-10-03,2025,10,Oct-2025,Friday,40,4,0,0,24759.55,24904.8,24747.55,24894.25,366929642,31409.06,Up,1,0.2333,57.95,1.1131,157.25,0.6351,134.7,0.544,-76.75,-0.309,24726.25,24927.79,24990.77,24839.56,24821.95,24879.54,24914.39,24907.09,0.6722,0.5179,0.4664,164.14,42.65,Neutral,-19.69,25.61,-45.3,None,25478.91,24990.77,24502.63,3.9066,Inside Band,-2.9002,25669.35,24337.5,-3.02,2.29,274910773.0,1.3347,0,26191.74,1.0,0,0,Mild Downtrend
2025-10-06,2025,10,Oct-2025,Monday,41,4,0,0,24916.55,25095.95,24881.65,25077.65,271953070,25160.76,Up,1,0.7367,183.4,1.858,214.3,0.8601,161.1,0.6466,22.3,0.0896,24810.84,24902.85,25007.6,24836.71,24907.19,24915.56,24929.94,24913.78,0.4655,0.592,0.4922,173.04,50.26,Neutral,-3.62,19.77,-23.39,None,25482.52,25007.6,24532.68,3.7982,Inside Band,-2.1849,25669.35,24337.5,-2.31,3.04,278004831.0,0.9782,0,26523.27,1.0,0,0,Strong Uptrend
2025-10-07,2025,10,Oct-2025,Tuesday,41,4,0,0,25085.3,25220.9,25076.3,25108.3,286833765,26176.23,Up,1,0.1222,30.65,1.9825,144.6,0.5764,23.0,0.0917,7.65,0.0305,24905.52,24893.44,25024.36,24837.63,24974.22,24950.6,24946.92,24921.41,0.4268,0.5782,0.4922,169.73,45.62,Neutral,11.45,18.1,-6.65,None,25487.96,25024.36,24560.76,3.7052,Inside Band,-2.0653,25669.35,24337.5,-2.19,3.17,281685109.0,1.0183,0,26825.93,1.0,0,0,Strong Uptrend
2025-10-08,2025,10,Oct-2025,Wednesday,41,4,0,0,25079.75,25192.5,25008.5,25046.15,225967495,21701.19,Down,0,-0.2475,-62.15,1.7301,184.0,0.7337,-33.6,-0.134,-28.55,-0.1137,24992.53,24881.11,25033.24,24841.82,24998.2,24967.98,24956.37,24926.3,0.4721,0.5815,0.4911,177.79,40.31,Neutral,18.17,18.12,0.05,Bullish,25491.05,25033.24,24575.43,3.6576,Inside Band,-2.3077,25669.35,24337.5,-2.43,2.91,281637495.0,0.8023,0,26793.15,1.0,0,0,Strong Uptrend
2025-10-09,2025,10,Oct-2025,Thursday,41,4,0,0,25074.3,25199.25,25024.3,25181.8,286253252,22617.86,Up,1,0.5416,135.65,2.2811,174.95,0.6977,107.5,0.4287,28.15,0.1124,25061.63,24893.6,25043.67,24851.84,25059.4,25006.85,24977.84,24936.32,0.3816,0.59,0.4968,181.8,41.98,Neutral,34.05,21.3,12.75,None,25505.21,25043.67,24582.14,3.6858,Inside Band,-1.7786,25669.35,24337.5,-1.9,3.47,283742834.0,1.0088,0,26801.09,1.0,0,0,Strong Uptrend
2025-10-10,2025,10,Oct-2025,Friday,41,4,0,0,25167.65,25330.75,25156.85,25285.35,232943306,21749.23,Up,1,0.4112,103.55,2.7016,173.9,0.691,117.7,0.4677,-14.15,-0.0562,25139.85,24933.05,25057.66,24861.12,25134.72,25057.49,25007.13,24950.0,0.3847,0.5413,0.5033,183.86,48.62,Neutral,54.37,27.92,26.45,None,25531.14,25057.66,24584.19,3.7791,Inside Band,-1.3747,25669.35,24337.5,-1.5,3.89,284161450.0,0.8198,0,26822.72,1.0,0,0,Strong Uptrend
2025-10-13,2025,10,Oct-2025,Monday,42,4,0,0,25177.3,25267.3,25152.3,25227.35,234285202,20806.83,Down,0,-0.2294,-58.0,2.4661,115.0,0.4568,50.05,0.1988,-108.05,-0.4273,25169.79,24990.32,25063.33,24868.57,25165.59,25088.37,25028.1,24960.88,0.3605,0.4096,0.499,179.17,50.86,Neutral,65.04,35.34,29.7,None,25542.33,25063.33,24584.33,3.8223,Inside Band,-1.601,25669.35,24337.5,-1.72,3.66,284588722.0,0.8232,0,26796.28,1.0,0,0,Strong Uptrend
